r_kpc,true_v_kms,mock_v_kms,sigma_kms,is_training,fit_v_kms
0.25,4.30334904304795,1.711063179029017,1,1,4.316644685728536
0.4838709677419355,8.189175493643022,8.052691142461025,1,0,8.211592801354554
0.717741935483871,11.81867262851921,12.77108329329566,1,1,11.84436836645857
0.9516129032258064,15.09356612252561,16.55603768775596,1,1,15.11498783890498
1.185483870967742,17.94205320676258,18.498198870331,1,1,17.95101682831513
1.419354838709677,20.32228478446126,18.86354199576146,1,0,20.31108016775215
1.653225806451613,22.22245614240676,21.73491643771948,1,1,22.18479175068508
1.887096774193548,23.65775918551985,23.63903498353516,1,1,23.58940143784269
2.120967741935484,24.66495043695273,24.4805454901187,1,1,24.56398920102678
2.354838709677419,25.29561052887689,25.20181096321722,1,0,25.16236658989632
2.588709677419355,25.60922983897273,24.64462556837413,1,1,25.44588776434349
2.82258064516129,25.66706396215676,24.90471090179757,1,1,25.4771483330736
3.056451612903226,25.52735650245032,23.58209430355025,1,1,25.31516900177127
3.290322580645161,25.24214946831197,26.43645425352149,1,0,25.01225852420678
3.524193548387097,24.85559314136168,24.52215609280469,1,1,24.61243111349151
3.758064516129032,24.4034757099339,25.07210379797692,1,1,24.15106343256262
3.991935483870968,23.91361766424809,24.28202394196879,1,1,23.65540981305242
4.225806451612903,23.40678760492354,23.23734911196682,1,0,23.14561694469382
4.459677419354838,22.89785742672097,22.33381079444118,1,1,22.63595018146315
4.693548387096774,22.39699398363769,22.61368544999582,1,1,22.1360294818171
4.927419354838709,21.9107601308262,21.48058163351009,1,1,21.65195252487996
5.161290322580645,21.44305958694294,21.05356268638135,1,0,21.18724543959807
5.39516129032258,20.99590407718637,21.03294623852267,1,1,20.74362538266266
5.629032258064516,20.57000896521734,21.38944669920561,1,1,20.32158591615431
5.862903225806451,20.16523842520367,20.73271290002231,1,1,19.92082968420715
6.096774193548387,19.78092698067082,19.62027023756998,1,0,19.54057744547218
6.330645161290322,19.41610435740255,19.84017189976212,1,1,19.17978165962717
6.564516129032258,19.06964768575547,18.88877161449595,1,1,18.8372692147449
6.798387096774193,18.74038093678717,16.90759498451099,1,1,18.51183328407893
7.032258064516129,18.42713717952867,18.01334855048287,1,0,18.20228975258993
7.266129032258064,18.12879537927803,15.98367054263301,1,1,17.90750967126027
7.5,17.84430025322201,19.33638544780732,1,1,17.62643596425081
